抽せん日,候補_3桁,joint_prob,EV_net,hit,回号,date_key,候補_3桁_pick,EV_net_adj_pick,joint_prob_pick,予測番号,百,十,一,EV_gross,price,expected_payout,model_name,feature_set,gen_at,source,当選番号3
2025-11-17,866,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,866.0,8.0,6.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,867,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,867.0,8.0,6.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,868,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,868.0,8.0,6.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,869,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,869.0,8.0,6.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,871,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,871.0,8.0,7.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,872,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,872.0,8.0,7.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,873,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,873.0,8.0,7.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,874,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,874.0,8.0,7.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,875,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,875.0,8.0,7.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,876,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,876.0,8.0,7.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,877,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,877.0,8.0,7.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,878,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,878.0,8.0,7.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,879,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,879.0,8.0,7.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
