回号,抽せん日,当せん番号,ストレート_口数,ストレート_金額,ボックス_口数,ボックス_金額,セットS_口数,セットS_金額,セットB_口数,セットB_金額,ミニ_口数,ミニ_金額,パターン,百の位,十の位,一の位,合計,最大,最小,最大-最小,曜日_int,曜日,パターン_code
6272,2023-08-09,840,52,123100,361,20500,103,71800,789,10200,406,12300,全て異なる,8,4,0,12,8,0,8,2,水曜日,0
6273,2023-08-10,692,91,110600,380,18400,138,64500,869,9200,392,11000,全て異なる,6,9,2,17,9,2,7,3,木曜日,0
6274,2023-08-11,485,72,98000,540,16300,158,57100,916,8100,389,9800,全て異なる,4,8,5,17,8,4,4,4,金曜日,0
6275,2023-08-14,622,128,79100,312,26300,204,52700,459,13100,742,7900,2桁一致,6,2,2,10,6,2,4,0,月曜日,1
6276,2023-08-15,747,81,93800,218,31200,138,62500,350,15600,581,9300,2桁一致,7,4,7,18,7,4,3,1,火曜日,1
6277,2023-08-16,748,72,88600,484,14700,215,51600,1075,7300,662,8800,全て異なる,7,4,8,19,8,4,4,2,水曜日,0
6278,2023-08-17,68,52,125900,343,20900,119,73400,826,10400,520,12500,全て異なる,0,6,8,14,8,0,8,3,木曜日,0
6279,2023-08-18,35,49,110900,487,18400,160,64600,1005,9200,646,11000,全て異なる,0,3,5,8,5,0,5,4,金曜日,0
6280,2023-08-21,846,113,81400,725,13500,230,47400,1368,6700,781,8100,全て異なる,8,4,6,18,8,4,4,0,月曜日,0
6281,2023-08-22,935,114,81000,496,13500,237,47200,928,6700,423,8100,全て異なる,9,3,5,17,9,3,6,1,火曜日,0
6282,2023-08-23,326,263,57200,488,9500,300,33300,1034,4700,725,5700,全て異なる,3,2,6,11,6,2,4,2,水曜日,0
6283,2023-08-24,758,85,81900,468,13600,261,47700,951,6800,665,8100,全て異なる,7,5,8,20,8,5,3,3,木曜日,0
6284,2023-08-25,901,96,93500,572,15500,209,54500,1057,7700,490,9300,全て異なる,9,0,1,10,9,0,9,4,金曜日,0
6285,2023-08-28,75,181,95400,475,15900,118,55600,972,7900,784,9500,全て異なる,0,7,5,12,7,0,7,0,月曜日,0
6286,2023-08-29,672,59,107600,363,17900,170,62700,907,8900,448,10700,全て異なる,6,7,2,15,7,2,5,1,火曜日,0
6287,2023-08-30,216,144,64600,544,10700,312,37600,1217,5300,542,6400,全て異なる,2,1,6,9,6,1,5,2,水曜日,0
6288,2023-08-31,52,69,124600,356,20700,113,72600,761,10300,458,12400,全て異なる,0,5,2,7,5,0,5,3,木曜日,0
